Url,Status
chanel.com,failed
12baskets.com,failed
brewhq.ca,failed
babiesrus.ca,failed
brickcreation.com,failed
123ink.ca,passed
2guysonline.ca,blank
babyandme.ca,passed
charlottetilbury.com,passed
store.401games.ca,failed
brickerking.com,passed
chatters.ca,failed
babycharlotte.com,passed
47brand.ca,passed
4wheelparts.ca,blank
chefequipment.com,failed
brightbean.com,passed
babyenroute.com,failed
80stoys.ca,failed
brightenuptoysandgames.ca,passed
thebabysense.ca,failed
acgamesonline.com,passed
brindlepets.ca,failed
babysquare.ca/,passed
amwoodspecialty.com,passed
bccamera.com,passed
backyardgrills.ca,passed
aonebeauty.com,failed
brother.ca,passed
aartech.ca,passed
store.abovegroundartsupplies.ca,blank
balloonboy.ca,failed
bbcards.ca,failed
acquiredtastetea.com,failed
brownssports.ca,passed
bstn.com,failed
barbecuesgalore.ca,passed
acrossthepond.ca,passed
bswbeautyca.com,passed
bargainballoons.ca,failed
actionfigurehq.com,passed
build.ca,passed
blackfootonline.ca,passed
adventureprozone.ca,passed
bulbscanada.com,failed
chefsupplies.ca,failed
agecomfort.com,passed
bulkmart.ca,failed
barrnorthvet.clientvantage.ca/,passed
chefcoca.com,passed
bulldognutrition.com,failed
chickenhousepress.ca,passed
agesthreeandup.ca,passed
bullseyenorth.com,passed
childrenstreehouse.ca,failed
agrizone.ca,failed
baseballtown.ca,blank
chotobaby.com,failed
airvoel.ca,failed
bumbletree.ca,passed
cjponyparts.com,failed
alds.com,failed
busybeetools.com,passed
allglassparts.com,failed
classicedge.ca,failed
butterflybeads.ca,passed
allsportscycle.com,passed
bathandbodyworks.ca,passed
classiquesupply.com,passed
buycoffeecanada.com,failed
allstarlearning.ca,passed
cleanitsupply.ca,failed
battlefordboutique.ca,passed
c6.ca,passed
clearsolutions.ca,passed
bcfasteners.com,passed
allergycanada.com,passed
alliancebeauty.ca,blank
calendarclub.ca,passed
altitude,blank
clement.ca,passed
bchobbies.com,passed
calfast.com,failed
aluxcompany.com,passed
climbonequipment.com,passed
clinique.ca,blank
beadseh.ca,passed
california,passed
clorebeauty.com,passed
alwaysgames.ca,passed
bearcountrykitchen.ca,passed
calissa.com,passed
amazon.ca,failed
cloudninepajamas.com,passed
beautysource.ca,passed
camouflage.ca,passed
ambcoffee.ca,passed
cloutsnchara.com,failed
beautywellness.ca,failed
canada.ambrosia.ca,passed
cmdstore.ca,passed
beautylish.com,failed
anthonysespresso.com,failed
fibertek.ca,failed
bellawren.ca,passed
coastalbeauty.ca,failed
anythinggrowsalberta.com,failed
canmeddirect.ca,passed
belmontdrugspharmacy.com,passed
cobiabeauty.com,passed
lubeonline.ca,passed
canadacardworld.com,passed
benjo.ca,passed
canadacomputers.com,passed
bensonsgourmetseasonings.com,passed
canadagrowsupplies.com,passed
shopcoco.ca,passed
canadahobbies.ca,failed
bestbbqrubs.ca,passed
coffeeaddicts.ca,passed
canadahottubparts.ca,passed
bestbuy.ca,passed
aqoutdoors.com,passed
coffeestiles.com,passed
bestcamerastore.ca,failed
canadatoolparts.ca,passed
aquariumdepot.ca,passed
collectorsavenue.com,passed
beyondrx.ca,passed
canadawheels.ca,passed
compassfoods.ca,failed
aquariumdirect.ca,failed
bhealthy.ca,failed
cf,blank
aquatell.ca,passed
bicicletta.cc,passed
arcticboardgames.ca,failed
bienvenidosmarket.com,failed
ardec.ca,failed
argamahobby.com,passed
bigalspets.com/ca,blank
bijansartstudio.ca,passed
gobikeandbrew.ca,failed
aromaespresso.ca,passed
biosenseclinic.ca,passed
canada.bissell.com,failed
asiena.ca,passed
blesket.com,failed
asos.com,failed
cookstore.ca,failed
shop.blocshop.com,failed
astralgrow.com,passed
coolrunningsfoods.ca,failed
bluebarn.shop,failed
atiabeauty.ca,passed
bmr.ca,failed
copperhollow.com,passed
atlas,passed
boardgamebandit.ca,passed
cosmeticworld.ca,passed
atlas,passed
cosrx.com,failed
costco.ca,blank
atmosphere.ca,failed
costcobusinesscentre.ca,passed
atomicflare.ca,passed
atrsports.com,passed
august.com,passed
cottagequiltingonline.com,passed
boardgamebliss.com,passed
auramarket.ca,passed
countrysense.ca,passed
boardgamesnmore.com,passed
autoobsessed.com,passed
covalin.ca,passed
boathousestores.com,failed
bobbibrowncosmetics.ca,blank
cpap.com,failed
bodycrafters.ca,passed
autodepth.com,failed
bountycollectibles.ca,passed
cpapmachines.ca,blank
boutiquedeauville.com,passed
cpapoutlet.ca,passed
avworld.ca,blank
aveda.ca,blank
laboutiqueducheveu.com,failed
crackerjackstadium.com,failed
avivahealth.com,failed
griffon.ca,failed
avon.ca,failed
crayola.ca,passed
bskinenvie.ca,failed
avril.ca,failed
canadawideliquidations.com,passed
creativelearningtoys.com,failed
bradleysmoker.com,failed
bkcollectables.com,passed
canadianbbqboys.com,failed
critterspet.com,passed
dell.com,failed
canadiangardensupply.com,failed
deltaart.ca,failed
crutchfield.ca,passed
canadiangundam.com,failed
deluxebeautysupply.ca,passed
braidsandwigs.ca,passed
csrbuilding.com,passed
canadianpetconnection.ca,passed
braketechtools.com,failed
canadiansafetysupplies.com,failed
deploydepot.ca,passed
thecuisinet.com,passed
bb.ca,failed
canadiantire.ca,failed
brazilianmarket.ca,failed
cuppers.ca,passed
canadianwoodworker.com,passed
breadtopia.com,passed
curlys.ca,passed
breakawaysc.com,failed
deserres.ca,passed
candydepot.ca,passed
currys.com,passed
breatheoutdoors.ca,failed
candyfunhouse.ca,failed
deskmates.ca,passed
cyclesmith.ca,failed
geebeauty.ca,passed
diabetesexpress.ca,failed
candyonline.ca,passed
shop.dlink.ca,passed
geekandco.ca,passed
dicehollow.com,passed
candyparadise.ca,passed
d2dhealthco.com,failed
gencbeauty.com,passed
candyville.ca,failed
danosseasoning.com,passed
gescan.com,passed
canoutlet.com,passed
dancewearcentre.com,passed
gianttiger.com,failed
dicksonbbq.com,passed
canusgoatsmilk.com,passed
dankmart.ca,passed
dillydallykids.ca,passed
directdetailingsupplies.com,passed
gibbyselectronicsupermarket.ca,passed
gilgalbeauty.ca,passed
ginkgohealthshop.com,failed
capitalmedicalsupply.ca,passed
dearbornbaby.com,passed
lojaglamourosa.com,passed
deckoutgaming.ca,passed
carzilla.ca,passed
globalgolf.ca,passed
cardboardclassics.ca,failed
discoverdogs.ca,passed
globalindustrial.ca,passed
cardboardmemories.ca,passed
dekhockeytown.ca,blank
djccollectibles.ca,passed
gnc.ca,failed
go,blank
cardsandbricks.com,failed
homehardware.ca,failed
dkbeauty.ca,passed
goldenbonbon.com,passed
market.homemade.ca,passed
goldtex.ca,failed
golfstuff.ca,blank
doescards.ca,passed
homemade.ca,passed
dollarama.com,failed
golftown.com,passed
homesalive.ca,passed
caribougifts.ca,passed
golfworks.ca,failed
dollys.ca,passed
ca.mycarpe.com,failed
hometechcanada.ca,failed
donsphoto.com,failed
goodfindtoys.com,passed
cartoonkingdom.ca,failed
honeybooks.ca,passed
downtowncamera.com,failed
goodmolecules.ca,failed
castletoys.ca,passed
good2goco.ca,passed
ca.drsquatch.com,passed
shopcasualgames.com,passed
goodnessme.ca,passed
catespharmacy.ca,failed
gosselinphoto.ca,passed
catit.ca,failed
hoover.ca,passed
hottubessentials.ca,failed
bedrugsmart.ca,passed
cellysports.com,passed
hottuboutfitters.ca,passed
kitchenomics.ca,failed
grainger.ca,blank
houseofcards.ca,failed
greatboardgames.ca,failed
mykitsch.com/en,passed
greathobbies.com,failed
howieshockeytape.ca,passed
dudeproducts.com,passed
huberequipment.com,failed
greatwesternsaw.com,passed
dunbarmedical.com,failed
dynamicaquasupply.com,failed
huesart.ca,passed
kiyokobeauty.ca,passed
dyno.ca,failed
dysoncanada.ca,blank
hydro,blank
kjpselecthardwoods.com,passed
hydroponicsclub.ca,failed
elfcosmetics.com/en_CA,passed
grillspot.ca,passed
kmstools.com,failed
icinginspirations.com,passed
earlysgarden.com,passed
grizzlysportscards.com,passed
ersportscards.ca,failed
grohe.ca,failed
iconsandheroes.ca,failed
konastainedglass.ca,passed
kooybros.com,failed
growdaddycanada.com,passed
loccitane.com/en,failed
easy,blank
cryptmtg.com,failed
growdudes.com,passed
idapharmacy.shop,passed
gtgames.ca,passed
ecomerchant.ca,blank
idrinkcoffee.com,passed
gummiboutique.ca,passed
ecollectibles.ca,passed
ifoodequipment.ca,passed
gundamhobby.ca,failed
laguildeculinaire.com,passed
ca.iherb.com,passed
laribouldingue.ca,passed
ihlcanada.com,failed
lacretehomehardware.ca,passed
ecscoffee.com,passed
lagoonbaby.com,failed
ikea.com/ca,failed
edmfast.com,passed
imaginaire.com,passed
educationstation.ca,passed
gundamplacestore.com,passed
incredigrow.ca,passed
gwartzmans.com,failed
chapters.indigo.ca,passed
hachem.com,failed
lagostina.ca,passed
lammles.com,passed
indoorfarmer.ca,passed
indoorgrowingcanada.com,blank
haircarecanada.ca,passed
eightouncecoffee.ca,passed
lamourlife.com,failed
industriacoiffure.ca,failed
hairmall.ca,failed
elitetools.ca,failed
lancome.ca,failed
innergood.ca,failed
latulippe.com/en,failed
hairyt.com,passed
elua.com,passed
iqliving.com,passed
lauramercier.ca,failed
haisue.ca,passed
irrigationdirect.ca,failed
laurelprescriptions.com,failed
isweet.ca,failed
halohealthcare.com,passed
boutiquebastion.com,failed
itcosmetics.ca,failed
lecreuset.ca,failed
leathertools.ca,passed
eminentbeautysystem.com,passed
itfactory.ca,passed
itm.com,blank
lemaitredujeu.ca,failed
shop.ennsbrothers.com,passed
le,blank
iwholesalecandy.ca,passed
sewingsupplydepot.com,failed
entertainmentcenternl.com,passed
j,passed
leatherman.com/en_CA,failed
hansler.com,passed
jjpetclub.com,failed
leevalley.com/en,failed
happydaysdairy.com,failed
jlaquatics.com,passed
legendswarehouse.ca,failed
happytcg.ca,passed
jacksonsart.com,failed
epson.ca,failed
equipescolaire.com,blank
lego.com/en,passed
jaspermettrapharmacy.ca,failed
harrys.com/en/ca,failed
leisureparkent.ca,passed
shophartingtonequipment.com,passed
havingfunyet.ca,failed
leuchtturm1917.ca,passed
erga.ca,failed
hdsupplysolutions.ca,failed
lierre.ca,passed
jccayer.com,passed
ernies.ca,passed
healthbodynutrition.ca,passed
lifepharmacy.ca,passed
jeancoutu.com,failed
lifesupply.ca,failed
healthfoodheaven.com,passed
jessicanailsupply.ca,passed
lifepluscanada.com,failed
healthpalace.ca,passed
jeux,passed
eskincarestore.com,passed
lifestylemarkets.com,passed
healthsnap.ca,blank
liftmaster.com/ca,blank
jjcards.com,failed
espressocanada.com,failed
healthtree.ca,passed
joann.com,passed
espressodolce.ca,passed
healthcaresolutions.ca,passed
lilmonkeycheeks.ca,blank
jonesroadbeauty.com,passed
limolin.com,failed
healthwick.ca,passed
espressoplanet.com,failed
josephsinspirational.ca,failed
shop.lindasquiltshoppe.com,passed
joyhaircare.com,passed
espressotec.com,passed
lindt.ca,failed
healthyfamilyfoods.ca,blank
jrtoycanada.ca,passed
evenflofeeding.com/en,passed
evitamins.com,blank
gohealthymoms.com,failed
healthyplan.ca,blank
autodetailsupplies.ca,passed
exoticwings.ca,passed
jsrindustrial.ca,failed
experiencetoysandgames.ca,failed
healthyplanetcanada.ca,blank
jumpbaby.ca,passed
eyedropshop.ca,passed
hearinglifeshop.ca,failed
k,passed
eyecart.ca,passed
linenchest.com,passed
heavenlyouthouse.com,passed
kalaya.ca,failed
fabricsncrafts.ca,passed
linenplus.ca,failed
henrys.com,passed
kanzengames.com,passed
